tester_id,Train Accuracy,Test Accuracy,Precision,Recall,Specificity
T1,0.996875,0.89375,0.9086458333333334,0.9041666666666666,0.8833333333333333
T10,0.9963541666666667,0.8229166666666667,0.8853125,0.7708333333333333,0.875
T11,0.9895833333333333,0.9468749999999999,0.9404166666666667,0.975,0.91875
T12,0.9932291666666666,0.7875000000000001,0.8375,0.7083333333333333,0.8666666666666667
T13,0.9963541666666667,0.7854166666666667,0.8064583333333333,0.625,0.9458333333333333
T14,0.9973958333333333,0.853125,0.8713541666666667,0.8104166666666666,0.8958333333333333
T15,0.9989583333333333,0.9458333333333334,0.9709375,0.9312499999999999,0.9604166666666667
T16,0.9942708333333332,0.9135416666666667,0.8891666666666667,0.9833333333333334,0.84375
T17,0.9927083333333333,0.7541666666666668,0.7935416666666666,0.66875,0.8395833333333333
T18,0.9973958333333334,0.9135416666666667,0.9092708333333333,0.9354166666666667,0.8916666666666666
T19,0.9994791666666667,0.8625,0.9070833333333332,0.825,0.8999999999999999
T2,0.9937499999999999,0.7958333333333334,0.8620833333333332,0.7291666666666666,0.8624999999999998
T20,0.9921875,0.8927083333333333,0.9119791666666667,0.8958333333333333,0.8895833333333333
T21,0.9963541666666667,0.8645833333333334,0.8589583333333333,0.9020833333333333,0.8270833333333332
T22,0.9916666666666667,0.8812500000000001,0.8868750000000001,0.90625,0.85625
T23,0.9947916666666667,0.8791666666666667,0.9507291666666666,0.8187499999999999,0.9395833333333332
T24,0.9979166666666666,0.915625,0.9521875,0.8916666666666666,0.9395833333333333
T25,0.9921875,0.8583333333333334,0.8846875000000001,0.8104166666666666,0.90625
T26,0.9937499999999999,0.8541666666666667,0.8746875,0.8645833333333334,0.84375
T27,0.9927083333333334,0.9052083333333334,0.9223958333333333,0.9166666666666666,0.89375
T28,0.9953125,0.6322916666666667,0.4822916666666666,0.35416666666666663,0.9104166666666667
T29,0.9947916666666667,0.8958333333333333,0.9157291666666667,0.9020833333333333,0.8895833333333334
T3,0.9953124999999999,0.8500000000000001,0.9322916666666667,0.7812499999999998,0.91875
T30,0.9994791666666667,0.9072916666666666,0.9464583333333334,0.88125,0.9333333333333333
T31,0.9994791666666667,0.8760416666666667,0.9471875000000001,0.8166666666666667,0.9354166666666666
T32,1.0,0.9041666666666667,0.924375,0.9020833333333333,0.90625
T33,0.990625,0.9166666666666667,0.9102083333333334,0.9520833333333333,0.88125
T34,0.9953125,0.8697916666666667,0.9330208333333334,0.8166666666666667,0.9229166666666666
T35,0.9932291666666667,0.8791666666666668,0.88125,0.91875,0.8395833333333332
T4,0.9958333333333333,0.8479166666666667,0.8272916666666666,0.7770833333333333,0.91875
T5,1.0,0.9875,0.9859375,0.9937499999999999,0.9812499999999998
T6,0.9953124999999999,0.9416666666666667,0.9269791666666667,0.9833333333333334,0.8999999999999999
T7,0.9984375,0.7697916666666667,0.9255208333333332,0.5979166666666665,0.9416666666666667
T8,0.9921875,0.8541666666666667,0.8605208333333334,0.8895833333333333,0.8187499999999999
T9,0.9973958333333333,0.9166666666666667,0.9235416666666667,0.9291666666666666,0.9041666666666666
